name,url
汽车售后服务,/c101020100-p230203/
汽车维修,/c101020100-p230204/
汽车美容,/c101020100-p230205/
汽车定损理赔,/c101020100-p230206/
二手车评估师,/c101020100-p230207/
4S店管理,/c101020100-p230208/
汽车改装工程师,/c101020100-p230209/
总装工程师,/c101020100-p230210/
焊接工程师,/c101020100-p230211/
冲压工程师,/c101020100-p230212/
其他汽车职位,/c101020100-p230301/
课程设计,/c101020100-p190101/
课程编辑,/c101020100-p190102/
教师,/c101020100-p190103/
培训研究,/c101020100-p190104/
培训师,/c101020100-p190105/
培训策划,/c101020100-p190107/
其他教育产品研发职位,/c101020100-p190106/
校长,/c101020100-p190201/
教务管理,/c101020100-p190202/
教学管理,/c101020100-p190203/
班主任/辅导员,/c101020100-p190204/
教师,/c101020100-p190301/
助教,/c101020100-p190302/
高中教师,/c101020100-p190303/
初中教师,/c101020100-p190304/
小学教师,/c101020100-p190305/
幼教,/c101020100-p190306/
理科教师,/c101020100-p190307/
文科教师,/c101020100-p190308/
外语教师,/c101020100-p190309/
音乐教师,/c101020100-p190310/
美术教师,/c101020100-p190311/
体育教师,/c101020100-p190312/
就业老师,/c101020100-p190313/
JAVA培训讲师,/c101020100-p190401/
Android培训讲师,/c101020100-p190402/
ios培训讲师,/c101020100-p190403/
PHP培训讲师,/c101020100-p190404/
.NET培训讲师,/c101020100-p190405/
C++培训讲师,/c101020100-p190406/
Unity 3D培训讲师,/c101020100-p190407/
Web前端培训讲师,/c101020100-p190408/
软件测试培训讲师,/c101020100-p190409/
动漫培训讲师,/c101020100-p190410/
UI设计培训讲师,/c101020100-p190411/
财会培训讲师,/c101020100-p190501/
HR培训讲师,/c101020100-p190502/
培训师,/c101020100-p190503/
拓展培训,/c101020100-p190504/
课程顾问,/c101020100-p190601/
招生顾问,/c101020100-p190602/
留学顾问,/c101020100-p190603/
舞蹈教练,/c101020100-p190701/
瑜伽教练,/c101020100-p190702/
瘦身顾问,/c101020100-p190703/
游泳教练,/c101020100-p190704/
健身教练,/c101020100-p190705/
篮球/羽毛球教练,/c101020100-p190706/
跆拳道教练,/c101020100-p190707/
其他教育培训职位,/c101020100-p190801/
店长,/c101020100-p210801/
执业药师/驻店药师,/c101020100-p210802/
店员/营业员,/c101020100-p210803/
医生助理,/c101020100-p210112/
医学影像,/c101020100-p210113/
B超医生,/c101020100-p210114/
生物制药,/c101020100-p210115/
药品注册,/c101020100-p210116/
药品生产,/c101020100-p210117/
临床研究,/c101020100-p210118/
临床协调,/c101020100-p210119/
临床数据分析,/c101020100-p210120/
医疗器械注册,/c101020100-p210121/
医疗器械生产/质量管理,/c101020100-p210122/
医学编辑,/c101020100-p210101/
药学编辑,/c101020100-p210102/
医师,/c101020100-p210103/
药剂师,/c101020100-p210104/
医疗器械研究,/c101020100-p210105/
医学总监,/c101020100-p210106/
医药研发,/c101020100-p210108/
验光师,/c101020100-p210109/
放射科医师,/c101020100-p210110/
检验科医师,/c101020100-p210111/
其他医疗技术职位,/c101020100-p210107/
护士长,/c101020100-p210202/
护士/护理,/c101020100-p210201/
医师,/c101020100-p210301/
中医,/c101020100-p210302/
心理医生,/c101020100-p210303/
牙科医生,/c101020100-p210304/
康复治疗师,/c101020100-p210305/
营养师,/c101020100-p210401/
整形师,/c101020100-p210402/
理疗师,/c101020100-p210403/
针灸推拿,/c101020100-p210404/
美容师/顾问,/c101020100-p210405/
医疗器械销售,/c101020100-p210506/
医学总监,/c101020100-p210501/
医药代表,/c101020100-p210502/
导医,/c101020100-p210503/
健康顾问,/c101020100-p210504/
医美咨询,/c101020100-p210505/
瑜伽教练,/c101020100-p210601/
瘦身顾问,/c101020100-p210602/
游泳教练,/c101020100-p210603/
美体教练,/c101020100-p210604/
舞蹈教练,/c101020100-p210605/
健身教练,/c101020100-p210606/
其他医疗健康类职位,/c101020100-p210701/
采购总监,/c101020100-p250101/
采购经理,/c101020100-p250102/
采购专员,/c101020100-p250103/
买手,/c101020100-p250104/
采购工程师,/c101020100-p250105/
采购主管,/c101020100-p250106/
采购助理,/c101020100-p250107/
外贸经理,/c101020100-p250201/
外贸专员,/c101020100-p250202/
外贸业务员,/c101020100-p250203/
贸易跟单,/c101020100-p250204/
其他采购/贸易类职位,/c101020100-p250301/
供应链专员,/c101020100-p240101/
供应链经理,/c101020100-p240102/
物流专员,/c101020100-p240103/
物流经理,/c101020100-p240104/
物流运营,/c101020100-p240105/
物流跟单,/c101020100-p240106/
贸易跟单,/c101020100-p240107/
物仓调度,/c101020100-p240108/
物仓项目,/c101020100-p240109/
运输经理/主管,/c101020100-p240110/
货运代理专员,/c101020100-p240111/
货运代理经理,/c101020100-p240112/
水/空/陆运操作,/c101020100-p240113/
报关员,/c101020100-p240114/
报检员,/c101020100-p240115/
核销员,/c101020100-p240116/
单证员,/c101020100-p240117/
仓储物料经理,/c101020100-p240201/
仓储物料专员,/c101020100-p240202/
仓储物料项目,/c101020100-p240203/
仓储管理,/c101020100-p240204/
仓库文员,/c101020100-p240205/
配/理/拣/发货,/c101020100-p240206/
货运司机,/c101020100-p240301/
集装箱管理,/c101020100-p240302/
配送,/c101020100-p240303/
快递,/c101020100-p240304/
供应链总监,/c101020100-p240401/
物流总监,/c101020100-p240402/
其他供应链职位,/c101020100-p240501/
