company_name,salary,company_info,info_detail,name,time
利朋网络,6K-8K,计算机软件,理解MVC架构,JAVA程序员,发布于昨天
简值,12K-24K,电子商务,工作职责,java开发,发布于02月24日
伴美信息科技有限公司,8K-13K,移动互联网,岗位职责：,Java开发工程师,发布于02月24日
运去哪,30K-50K,互联网,岗位职责：,Java高级架构师,发布于02月24日
高预美,11K-17K,计算机软件,（后台开发软件工程师） 4年经验 Java工程师 ,中高级Java工程师,发布于09:48
安硕信息技术,6K-12K,计算机软件,岗位要求：,Java开发工程师（上海）,发布于昨天
微盟,15K-30K,移动互联网,岗位职责：,Java高级开发（支付财务系统）,发布于14:17
微盟,15K-30K,移动互联网,岗位职责：,Java高级开发(科技金融),发布于14:17
好买衣,8K-16K,互联网,工作职责：,Java开发工程师,发布于02月24日
拼多多,30K-50K,移动互联网,岗位职责：,资深Java研发工程师（平台治理方向）,发布于02月27日
千起信息科技,15K-25K,计算机软件,岗位职责,Java,发布于02月24日
众谱伟信,8K-15K,互联网金融,岗位职责：,Java开发工程师,发布于昨天
mo9,15K-25K,互联网,岗位职责：,高级JAVA软件工程师（区块链方向）,发布于02月26日
杭州数列科技有限公司,20K-35K,企业服务,职位诱惑：,JAVA大数据开发工程师,发布于15:21
杭州数列科技有限公司,20K-35K,企业服务,职位诱惑：,java开发,发布于15:22
杭州数列科技有限公司,10K-20K,企业服务,希望你能：,java研发工程师,发布于11:54
夺汇网络,15K-30K,互联网金融,XTransfer成立于2017年，创始团队5人来自阿里巴巴及蚂蚁金服。总部在香港，并已经在英国伦敦，中国上海、深圳设有3家全资子公司，是中国第一家专注服务外贸B2B客户的跨境金融科技企业。,高级 Java 开发工程师（金融平台）,发布于18:10
深兰科技,25K-30K,智能硬件,Java高级开发工程师,Java技术专家,发布于昨天
奥动新能源汽车科技,15K-25K,汽车生产,岗位职责：,高级Java开发工程师,发布于02月26日
翼倍,20K-25K,互联网,诚意招聘：资深Java后端研发主管,Java研发主管,发布于02月26日
再惠,15K-30K,互联网,岗位职责：,java高级开发工程师,发布于02月24日
再惠,15K-30K,移动互联网,岗位职责：,高级JAVA开发工程师,发布于昨天
赤骥商贸有限公司,13K-17K,贸易/进出口,3-5年Java开发经验,中级java工程师,发布于02月24日
